objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Ventura","34871","2","","0","1","0","0","0","0","0","0","0","3","","","","","","36074126","5.69843","6.45937","3.0476","4525","1549","thing","Ventura","2","4","90","90","90","2011","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Via Nebula","191231","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36530885","6.63103","7.09035","2.2093","767","4738","thing","Via Nebula","2","4","60","60","45","2016","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Viceroy","157526","6","","0","1","0","0","0","0","0","0","0","3","","","","","","30002273","6.55092","6.86219","2.6429","893","8430","thing","Viceroy","1","4","60","60","45","2014","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Vikings","27173","8","","0","1","0","0","0","0","0","0","0","1","","","","","","30265629","6.98845","7.26026","2.5369","371","7356","thing","Vikings","2","4","60","60","60","2007","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Village","104006","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","35974054","7.37463","7.53629","3.0741","134","23487","thing","Village","2","4","90","90","60","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Vinhos Deluxe Edition","175640","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46956546","7.39361","8.22338","4.0532","125","6123","thing","Vinhos Deluxe Edition","1","4","135","135","60","2016","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture","128621","8","","0","1","0","0","0","0","0","0","0","2","","","","","","30002919","7.32713","7.62605","2.9366","157","8038","thing","Viticulture","2","6","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Viticulture Essential Edition","183394","8","","0","1","0","0","0","0","0","0","0","1","","","","","","30589378","7.92091","8.11689","2.9311","20","27963","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"VivaJava: The Coffee Game: The Dice Game","139899","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36074133","6.17577","6.70417","1.7632","1680","3262","thing","VivaJava: The Coffee Game: The Dice Game","1","4","40","40","20","2014","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Voyages of Marco Polo","171623","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30002354","7.72087","7.92736","3.196","43","19670","thing","The Voyages of Marco Polo","2","4","100","100","40","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"De Vulgari Eloquentia","75165","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36530904","6.49337","7.24496","3.6276","966","2878","thing","De Vulgari Eloquentia","2","5","120","120","120","2010","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Walnut Grove","103185","0","","0","0","0","0","0","0","0","0","1","2","","","","","","30432099","6.41166","6.98949","2.4645","1118","2141","thing","Walnut Grove","1","4","60","60","30","2011","1,2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"War of the Ring (Second Edition)","115746","0","","0","0","0","0","0","1","0","0","0","4","","","","","","21742995","8.05997","8.44508","4.0752","12","17847","thing","War of the Ring (Second Edition)","2","4","180","180","150","2012","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer 40,000: Conquest","156776","8","","0","1","0","0","0","0","0","0","0","3","","","","","","28836085","6.67322","7.37893","3.04","715","5022","thing","Warhammer 40,000: Conquest","2","2","45","45","45","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer 40,000: Conquest – The Great Devourer","174560","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36074143","5.73073","7.64385","3.0909","0","1213","thing","Warhammer 40,000: Conquest – The Great Devourer","2","2","45","45","45","2015","2","2","16+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Warhammer Quest: The Adventure Card Game","181521","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054197","6.9032","7.41541","2.7301","455","9063","thing","Warhammer Quest: The Adventure Card Game","1","4","60","60","30","2015","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer: Diskwars","146418","8","","0","1","0","0","0","0","0","0","0","2","","","","","","21734935","6.35231","7.16343","2.7661","1229","3907","thing","Warhammer: Diskwars","2","4","90","90","45","2013","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Warhammer: Diskwars – Hammer and Hold","156053","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36074140","5.86028","7.72285","2.4167","0","1548","thing","Warhammer: Diskwars – Hammer and Hold","2","4","0","0","0","2014","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Warhammer: Diskwars – Legions of Darkness","156054","8","","0","1","0","0","0","0","0","0","0","3","","","","","","26348323","5.85406","7.75618","2.4167","0","1554","thing","Warhammer: Diskwars – Legions of Darkness","2","4","0","0","0","2014","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"We Didn't Playtest This At All","31016","3","","0","1","0","0","0","0","0","0","0","3","","","","","","21735413","5.47434","5.52867","1.0938","16840","5100","thing","We Didn't Playtest This At All","2","10","10","10","1","2007","3,4,5,6,7,8,9,10","5,6,7","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Welcome to the Dungeon","150312","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36074146","6.49535","6.64505","1.2165","965","17707","thing","Welcome to the Dungeon","2","4","30","30","30","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Wok Star","71655","6","","0","1","0","0","0","0","0","0","0","3","","","","","","28836207","6.04618","6.73328","2.0333","2104","1753","thing","Wok Star","1","4","60","60","60","2010","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"XCOM: The Board Game","163602","7","","0","1","0","0","0","0","0","0","0","3","","","","","","28821324","6.78589","7.07881","2.8968","595","11225","thing","XCOM: The Board Game","1","4","120","120","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"XenoShyft: Grafting Lab Expansion","166506","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36074160","5.72147","7.37632","3","0","1139","thing","XenoShyft: Grafting Lab Expansion","1","4","60","60","30","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"XenoShyft: Onslaught","159109","7","","0","1","0","0","0","0","0","0","0","3","","","","","","30589073","6.5022","7.0047","2.6931","951","5190","thing","XenoShyft: Onslaught","1","4","60","60","30","2015","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"XenoShyft: Psychogenics Lab Expansion","166507","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36074163","5.72204","7.34635","2","0","1143","thing","XenoShyft: Psychogenics Lab Expansion","1","4","60","60","30","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Yamataï","213893","7","","0","1","0","0","0","0","0","0","0","1","","","","","","46956889","6.82509","7.24346","2.9032","533","7167","thing","Yamataï","2","4","80","80","40","2017","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Yedo","117915","8","","0","1","0","0","0","0","0","0","0","1","","","","","","24580591","6.82267","7.40973","3.3661","538","4261","thing","Yedo","2","5","180","180","120","2012","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Yokohama","196340","7","","0","1","0","0","0","0","0","0","0","3","","","","","","46956448","7.49193","7.89313","3.3144","90","10174","thing","Yokohama","2","4","90","90","90","2016","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombicide: Black Plague","176189","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054130","7.34038","7.7178","2.5375","151","18523","thing","Zombicide: Black Plague","1","6","180","180","60","2015","1,2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Zombicide: Black Plague – Wulfsburg","178485","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36074169","6.79868","8.07347","2.5238","0","7461","thing","Zombicide: Black Plague – Wulfsburg","1","6","60","60","60","2016","1,2,3,4,5,6","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
